Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
1815,"2,540",203,"1,651",583,30,3,0,31,39,"1,952",166,"1,290",418,28,3,0,19,28,10,0,0,0,0,0,0,10,935,900,35
1816,"2,413","1,192",606,402,111,5,7,36,54,"1,932","1,007",472,297,79,5,7,22,43,111,0,0,31,0,64,0,16,856,821,35
1817,"2,430",531,972,790,56,4,0,36,41,"1,852",466,739,538,49,4,0,31,25,0,0,0,0,0,0,0,0,906,864,42
1818,"2,983",633,"1,332",863,49,14,0,45,47,"2,476",573,"1,097",680,46,12,0,27,41,6,0,0,0,0,0,0,6,"1,427","1,371",56
1819,"3,759",895,"1,786",821,114,16,2,52,73,"2,949",792,"1,370",595,92,15,2,44,39,0,0,0,0,0,0,0,0,"1,364","1,312",52
1820,"3,467","1,446","1,033",659,136,8,1,132,52,"2,754","1,257",764,475,107,6,1,105,39,8,0,0,0,0,0,0,8,"1,387","1,323",64
1821,"3,109",47,"2,392",496,11,5,1,25,132,"2,469",40,"1,947",373,7,5,1,10,86,0,0,0,0,0,0,0,0,"1,320","1,239",81
1822,"2,214",954,514,602,79,10,0,34,21,"1,829",827,402,482,61,10,0,27,20,3,0,0,0,0,0,0,3,857,831,26
1823,"2,995",286,"1,631",928,62,5,0,37,46,"1,939",226,"1,048",559,48,5,0,24,29,0,0,0,0,0,0,0,0,"1,312","1,258",54
1901,"1,760","1,249",99,216,136,15,0,24,21,"1,522","1,097",85,193,101,15,0,23,8,0,0,0,0,0,0,0,0,800,770,30
1902,"2,223","1,675",140,159,192,8,3,36,10,"1,832","1,441",109,115,136,4,3,19,5,336,0,20,82,0,160,0,74,766,746,20
1903,"1,070",816,48,86,95,2,0,13,10,951,746,39,63,85,2,0,11,5,0,0,0,0,0,0,0,0,518,482,36
1904,"2,375","1,717",131,292,176,6,0,39,14,"2,062","1,521",115,241,146,5,0,26,8,15,0,0,0,0,0,0,15,"1,084","1,020",64
1905,"1,873","1,221",210,265,125,10,0,30,12,"1,706","1,117",200,233,111,10,0,27,8,160,0,0,0,120,0,0,40,975,935,40
1906,"2,165","1,578",113,180,206,12,0,63,13,"1,870","1,408",104,137,154,12,0,52,3,8,0,0,0,0,0,0,8,"1,094","1,054",40
1907,"2,078","1,192",191,395,224,12,4,39,21,"1,724","1,037",147,298,189,12,4,26,11,3,0,0,0,0,0,0,3,913,855,58
1908,"1,435","1,145",76,78,105,2,0,25,4,"1,180",948,58,64,89,2,0,19,0,0,0,0,0,0,0,0,0,622,589,33
1909,"1,274",728,123,271,91,4,0,33,24,"1,058",647,86,204,79,3,0,23,16,0,0,0,0,0,0,0,0,556,508,48
1910,"2,571","1,138",579,653,92,12,1,53,43,"2,057",946,478,467,77,11,0,46,32,6,0,0,0,0,0,0,6,"1,048","1,001",47
1911,"2,673",542,749,"1,225",88,3,0,30,36,"2,048",484,561,882,68,2,0,23,28,3,0,0,0,0,0,0,3,"1,014",997,17
1912,"1,592",837,251,385,65,3,2,24,25,"1,341",726,213,311,55,1,2,16,17,10,0,0,0,0,0,0,10,731,691,40
1913,"1,642",591,414,534,72,2,0,20,9,"1,372",534,318,445,54,2,0,15,4,0,0,0,0,0,0,0,0,676,651,25
2001,"2,183","1,780",114,115,113,9,0,41,11,"1,858","1,548",98,85,81,9,0,28,9,442,0,0,438,0,0,0,4,847,806,41
2002,"2,421","1,441",276,478,132,10,1,56,27,"1,967","1,212",215,357,109,10,1,44,19,9,0,0,0,0,0,0,9,"1,065","1,012",53
2003,"2,429","1,186",483,401,288,9,1,22,39,"2,004","1,027",364,316,243,9,1,19,25,68,0,0,63,0,0,0,5,"1,056","1,028",28
2004,"1,657","1,278",82,157,86,7,0,34,13,"1,375","1,084",58,123,63,7,0,29,11,4,0,0,0,0,0,0,4,738,699,39
2005,"2,200","1,653",113,238,156,6,1,9,24,"1,864","1,431",93,187,124,5,0,2,22,179,0,0,159,0,0,0,20,"1,004",909,95
2006,"2,012","1,651",52,113,158,6,0,28,4,"1,739","1,463",43,86,117,6,0,20,4,138,0,0,125,0,0,0,13,940,875,65
2007,"1,310","1,006",57,104,105,3,0,31,4,"1,108",870,50,79,84,3,0,19,3,0,0,0,0,0,0,0,0,578,555,23
2008,"1,609","1,154",115,221,73,7,0,19,20,"1,279",951,84,165,47,7,0,8,17,0,0,0,0,0,0,0,0,676,646,30
2009,"1,969","1,166",227,409,87,9,0,54,17,"1,581",984,162,301,67,9,0,46,12,0,0,0,0,0,0,0,0,831,778,53
